file,model,p,n,rho,alpha,method,mean,se
power_nmix_p250_n200_rho0.6_b20_R20.csv,nmix,250,200,0.6,-,BY,0.9871052631578948,0.004621163685967974
power_nmix_p250_n200_rho0.6_b20_R20.csv,nmix,250,200,0.6,-,LCT-B,0.9421052631578948,
power_nmix_p250_n200_rho0.6_b20_R20.csv,nmix,250,200,0.6,-,LCT-N,0.9876315789473684,0.004711768046923254
power_nmix_p250_n200_rho0.6_b20_R20.csv,nmix,250,200,0.6,0.05,BH,0.9955263157894738,0.0020303499792036273
power_nmix_p250_n200_rho0.6_b20_R20.csv,nmix,250,200,0.6,0.05,BY,0.9776315789473685,0.007273578377348414
power_nmix_p250_n200_rho0.6_b20_R20.csv,nmix,250,200,0.6,0.05,LCT-B,0.9210526315789472,
power_nmix_p250_n200_rho0.6_b20_R20.csv,nmix,250,200,0.6,0.05,LCT-N,0.983157894736842,0.006642079362171885
power_nmix_p250_n200_rho0.7_b20_R20.csv,nmix,250,200,0.7,-,BH,1.0,0.0
power_nmix_p250_n200_rho0.7_b20_R20.csv,nmix,250,200,0.7,-,BY,0.9994736842105263,0.0003622353692693015
power_nmix_p250_n200_rho0.7_b20_R20.csv,nmix,250,200,0.7,-,LCT-B,1.0,
power_nmix_p250_n200_rho0.7_b20_R20.csv,nmix,250,200,0.7,-,LCT-N,0.999736842105263,0.0002631578947368374
power_nmix_p250_n200_rho0.7_b20_R20.csv,nmix,250,200,0.7,0.05,BH,1.0,0.0
power_nmix_p250_n200_rho0.7_b20_R20.csv,nmix,250,200,0.7,0.05,BY,0.9981578947368421,0.0008769621118158783
power_nmix_p250_n200_rho0.7_b20_R20.csv,nmix,250,200,0.7,0.05,LCT-B,1.0,
power_nmix_p250_n200_rho0.7_b20_R20.csv,nmix,250,200,0.7,0.05,LCT-N,0.9994736842105263,0.0005263157894736804
power_nmix_p250_n200_rho0.8_b20_R20.csv,nmix,250,200,0.8,-,BH,1.0,0.0
power_nmix_p250_n200_rho0.8_b20_R20.csv,nmix,250,200,0.8,-,BY,1.0,0.0
power_nmix_p250_n200_rho0.8_b20_R20.csv,nmix,250,200,0.8,-,LCT-B,1.0,
power_nmix_p250_n200_rho0.8_b20_R20.csv,nmix,250,200,0.8,-,LCT-N,1.0,0.0
power_nmix_p250_n200_rho0.8_b20_R20.csv,nmix,250,200,0.8,0.05,BH,1.0,0.0
power_nmix_p250_n200_rho0.8_b20_R20.csv,nmix,250,200,0.8,0.05,BY,1.0,0.0
power_nmix_p250_n200_rho0.8_b20_R20.csv,nmix,250,200,0.8,0.05,LCT-B,1.0,
power_nmix_p250_n200_rho0.8_b20_R20.csv,nmix,250,200,0.8,0.05,LCT-N,1.0,0.0
power_nmix_p250_n80_rho0.5_b20_R20.csv,nmix,250,80,0.5,-,BH,0.605,0.029949841433558878
power_nmix_p250_n80_rho0.5_b20_R20.csv,nmix,250,80,0.5,-,BY,0.26947368421052625,0.028569939352603806
power_nmix_p250_n80_rho0.5_b20_R20.csv,nmix,250,80,0.5,-,LCT-B,0.131578947368421,
power_nmix_p250_n80_rho0.5_b20_R20.csv,nmix,250,80,0.5,-,LCT-N,0.2963157894736842,0.03640240183434243
power_nmix_p250_n80_rho0.5_b20_R20.csv,nmix,250,80,0.5,0.05,BH,0.47184210526315784,0.030355513659066267
power_nmix_p250_n80_rho0.5_b20_R20.csv,nmix,250,80,0.5,0.05,BY,0.2107894736842105,0.02757242051290858
power_nmix_p250_n80_rho0.5_b20_R20.csv,nmix,250,80,0.5,0.05,LCT-B,0.0526315789473684,
power_nmix_p250_n80_rho0.5_b20_R20.csv,nmix,250,80,0.5,0.05,LCT-N,0.2663157894736842,0.03488969977390829
power_nmix_p250_n80_rho0.6_b20_R20.csv,nmix,250,80,0.6,-,BH,0.8236842105263158,0.021002363810060702
power_nmix_p250_n80_rho0.6_b20_R20.csv,nmix,250,80,0.6,-,BY,0.5352631578947369,0.0357089284299678
